client_id,client_name,distributed_amount,status
C035463,Client 35463,4999.84,COMPLETED
C034713,Client 34713,4095.30,COMPLETED
C034528,Client 34528,32327.97,COMPLETED
C016635,Client 16635,27759.53,COMPLETED
C040228,Client 40228,3157.33,COMPLETED
C048204,Client 48204,39236.01,COMPLETED
C032628,Client 32628,21799.68,COMPLETED
C010606,Client 10606,28341.41,COMPLETED
C015861,Client 15861,19118.43,COMPLETED
C003313,Client 3313,45760.76,COMPLETED
C006677,Client 6677,15718.15,COMPLETED
C002190,Client 2190,9030.45,COMPLETED
C017390,Client 17390,37913.62,COMPLETED
C010559,Client 10559,3256.20,COMPLETED
C012875,Client 12875,22731.38,COMPLETED
C010865,Client 10865,9530.31,COMPLETED
C020330,Client 20330,24053.19,COMPLETED
C009401,Client 9401,11153.89,COMPLETED
C040131,Client 40131,22847.54,COMPLETED
C035841,Client 35841,5606.66,COMPLETED
C027980,Client 27980,42356.03,COMPLETED
C044997,Client 44997,1611.26,COMPLETED
C020262,Client 20262,19241.08,COMPLETED
C029158,Client 29158,17865.36,COMPLETED
C031115,Client 31115,31599.14,COMPLETED
C015869,Client 15869,32734.89,COMPLETED
C047896,Client 47896,39027.99,COMPLETED
C033851,Client 33851,1843.77,COMPLETED
C032409,Client 32409,25162.17,COMPLETED
C036349,Client 36349,13442.68,COMPLETED
C010495,Client 10495,20788.36,COMPLETED
C036696,Client 36696,5705.79,COMPLETED
C023640,Client 23640,9601.15,COMPLETED
C002035,Client 2035,47229.78,COMPLETED
C037460,Client 37460,10417.87,COMPLETED
C023470,Client 23470,27525.25,COMPLETED
C025786,Client 25786,33594.59,COMPLETED
C043606,Client 43606,40260.23,COMPLETED
C003590,Client 3590,6436.74,COMPLETED
C000940,Client 940,35603.37,COMPLETED
C001388,Client 1388,18806.46,COMPLETED
C030453,Client 30453,26455.79,COMPLETED
C009884,Client 9884,37680.06,COMPLETED
C010676,Client 10676,8113.12,COMPLETED
C010498,Client 10498,37118.90,COMPLETED
C047633,Client 47633,21031.63,COMPLETED
C041667,Client 41667,39305.67,COMPLETED
C009733,Client 9733,31993.63,COMPLETED
C037222,Client 37222,8769.39,COMPLETED
C021497,Client 21497,22115.17,COMPLETED
C039587,Client 39587,1953.48,COMPLETED
C020129,Client 20129,27292.33,COMPLETED
C003723,Client 3723,36000.64,COMPLETED
C026153,Client 26153,25372.96,COMPLETED
C021035,Client 21035,41424.11,COMPLETED
C049656,Client 49656,35307.46,COMPLETED
C049360,Client 49360,18287.26,COMPLETED
C015210,Client 15210,41278.58,COMPLETED
C034240,Client 34240,44773.44,COMPLETED
C024429,Client 24429,47297.23,COMPLETED
C049502,Client 49502,8304.96,COMPLETED
C020554,Client 20554,4777.48,COMPLETED
C039379,Client 39379,44768.52,COMPLETED
C031979,Client 31979,46646.22,COMPLETED
C007349,Client 7349,6261.06,COMPLETED
C035740,Client 35740,4560.14,COMPLETED
C026958,Client 26958,13548.29,COMPLETED
C016087,Client 16087,15322.33,COMPLETED
C049117,Client 49117,34704.15,COMPLETED
C015332,Client 15332,39470.49,COMPLETED
C034582,Client 34582,37381.60,COMPLETED
C007705,Client 7705,21603.90,COMPLETED
C048360,Client 48360,1527.96,COMPLETED
C009687,Client 9687,1297.72,COMPLETED
C020243,Client 20243,27184.84,COMPLETED
C028251,Client 28251,23817.57,COMPLETED
C024465,Client 24465,44260.33,COMPLETED
C019243,Client 19243,12736.69,COMPLETED
C026658,Client 26658,34098.49,COMPLETED
C038288,Client 38288,39009.56,COMPLETED
C038027,Client 38027,11918.84,COMPLETED
C049187,Client 49187,5942.04,COMPLETED
C039302,Client 39302,46002.57,COMPLETED
C017538,Client 17538,31721.16,COMPLETED
C034826,Client 34826,4100.64,COMPLETED
C033667,Client 33667,45639.65,COMPLETED
C027492,Client 27492,6798.43,COMPLETED
C000067,Client 67,23469.35,COMPLETED
C026742,Client 26742,999.31,COMPLETED
C014716,Client 14716,13683.45,COMPLETED
C003266,Client 3266,28511.27,COMPLETED
C036590,Client 36590,38047.67,COMPLETED
C024672,Client 24672,14339.33,COMPLETED
C035404,Client 35404,43458.46,COMPLETED
C011936,Client 11936,45711.04,COMPLETED
C018802,Client 18802,42746.21,COMPLETED
C045848,Client 45848,13790.32,COMPLETED
C049134,Client 49134,33574.30,COMPLETED
C008165,Client 8165,20906.00,COMPLETED
C024470,Client 24470,22583.35,COMPLETED
C020492,Client 20492,27633.24,COMPLETED
C004463,Client 4463,37705.31,COMPLETED
C009371,Client 9371,43828.39,COMPLETED
C015089,Client 15089,3225.86,COMPLETED
C022143,Client 22143,3285.30,COMPLETED
C027476,Client 27476,48835.01,COMPLETED
C038094,Client 38094,30284.95,COMPLETED
C020408,Client 20408,12041.41,COMPLETED
C020180,Client 20180,20784.06,COMPLETED
C031221,Client 31221,14635.32,COMPLETED
C022752,Client 22752,38003.22,COMPLETED
C008661,Client 8661,12283.23,COMPLETED
C000642,Client 642,28323.27,COMPLETED
C028674,Client 28674,45945.75,COMPLETED
C015023,Client 15023,15256.85,COMPLETED
C018206,Client 18206,44451.76,COMPLETED
C049811,Client 49811,16300.58,COMPLETED
C011845,Client 11845,8275.88,COMPLETED
C026450,Client 26450,10757.23,COMPLETED
C036609,Client 36609,7790.02,COMPLETED
C034660,Client 34660,3025.27,COMPLETED
C004884,Client 4884,1474.98,COMPLETED
C010034,Client 10034,18789.50,COMPLETED
C018133,Client 18133,34624.13,COMPLETED
C034854,Client 34854,29235.92,COMPLETED
C009228,Client 9228,28579.84,COMPLETED
C023693,Client 23693,11892.42,COMPLETED
C031939,Client 31939,48150.97,COMPLETED
C018164,Client 18164,36292.17,COMPLETED
C045945,Client 45945,26071.67,COMPLETED
C041407,Client 41407,21473.41,COMPLETED
C048405,Client 48405,37098.02,COMPLETED
C021922,Client 21922,26207.58,COMPLETED
C031973,Client 31973,15594.66,COMPLETED
C031978,Client 31978,23403.40,COMPLETED
C020940,Client 20940,40102.79,COMPLETED
C025213,Client 25213,16324.11,COMPLETED
C019405,Client 19405,47412.83,COMPLETED
C034111,Client 34111,20918.86,COMPLETED
C021849,Client 21849,29472.04,COMPLETED
C010446,Client 10446,41608.34,COMPLETED
C017202,Client 17202,1340.82,COMPLETED
C008448,Client 8448,32739.71,COMPLETED
C037762,Client 37762,47381.76,COMPLETED
C045954,Client 45954,148.02,COMPLETED
C010090,Client 10090,31256.22,COMPLETED
C027561,Client 27561,11069.24,COMPLETED
C040258,Client 40258,36047.58,COMPLETED
C028941,Client 28941,7595.65,COMPLETED
C010484,Client 10484,22994.11,COMPLETED
C015850,Client 15850,33270.68,COMPLETED
C048733,Client 48733,34403.96,COMPLETED
C028831,Client 28831,16929.56,COMPLETED
C048266,Client 48266,15938.30,COMPLETED
C045415,Client 45415,2419.64,COMPLETED
C006877,Client 6877,19771.74,COMPLETED
C020790,Client 20790,46167.83,COMPLETED
C029367,Client 29367,21836.45,COMPLETED
C008292,Client 8292,34164.21,COMPLETED
C031782,Client 31782,41709.71,COMPLETED
C046983,Client 46983,39499.68,COMPLETED
C001259,Client 1259,13198.21,COMPLETED
C013504,Client 13504,30053.45,COMPLETED
C001056,Client 1056,119.48,COMPLETED
C034113,Client 34113,8330.39,COMPLETED
C005487,Client 5487,3746.36,COMPLETED
C032658,Client 32658,34138.60,COMPLETED
C021694,Client 21694,3465.99,COMPLETED
