client_id,client_name,source_amount,fee_pct,expected_net_amount
C000000,Client 0,48332.84,0.02,47366.18
C000001,Client 1,33268.79,0.02,32603.41
C000002,Client 2,9277.61,0.02,9092.06
C000003,Client 3,33605.04,0.02,32932.94
C000004,Client 4,10866.24,0.02,10648.92
C000005,Client 5,44557.44,0.02,43666.29
C000006,Client 6,13997.78,0.02,13717.82
C000007,Client 7,49019.83,0.02,48039.43
C000008,Client 8,9705.24,0.02,9511.14
C000009,Client 9,38815.06,0.02,38038.76
C000010,Client 10,11409.94,0.02,11181.74
C000011,Client 11,23302.15,0.02,22836.11
C000012,Client 12,46177.12,0.02,45253.58
C000013,Client 13,45832.85,0.02,44916.19
C000014,Client 14,21051.17,0.02,20630.15
C000015,Client 15,23818.89,0.02,23342.51
C000016,Client 16,46204.19,0.02,45280.11
C000017,Client 17,46779.21,0.02,45843.63
C000018,Client 18,19428.99,0.02,19040.41
C000019,Client 19,27287.28,0.02,26741.53
C000020,Client 20,10265.07,0.02,10059.77
C000021,Client 21,9352.53,0.02,9165.48
C000022,Client 22,5882.01,0.02,5764.37
C000023,Client 23,38131.76,0.02,37369.12
C000024,Client 24,25292.25,0.02,24786.40
C000025,Client 25,7852.66,0.02,7695.61
C000026,Client 26,32494.39,0.02,31844.50
C000027,Client 27,28099.58,0.02,27537.59
C000028,Client 28,25439.17,0.02,24930.39
C000029,Client 29,27538.22,0.02,26987.46
C000030,Client 30,1811.38,0.02,1775.15
C000031,Client 31,24361.20,0.02,23873.98
C000032,Client 32,17982.15,0.02,17622.51
C000033,Client 33,43417.77,0.02,42549.41
C000034,Client 34,46769.10,0.02,45833.72
C000035,Client 35,21888.79,0.02,21451.01
C000036,Client 36,17258.54,0.02,16913.37
C000037,Client 37,16971.16,0.02,16631.74
C000038,Client 38,37503.37,0.02,36753.30
C000039,Client 39,27479.77,0.02,26930.17
C000040,Client 40,19754.14,0.02,19359.06
C000041,Client 41,14999.97,0.02,14699.97
C000042,Client 42,4433.59,0.02,4344.92
C000043,Client 43,34791.77,0.02,34095.93
C000044,Client 44,9015.32,0.02,8835.01
C000045,Client 45,6920.41,0.02,6782.00
C000046,Client 46,28412.64,0.02,27844.39
C000047,Client 47,13304.95,0.02,13038.85
C000048,Client 48,26931.11,0.02,26392.49
C000049,Client 49,6415.62,0.02,6287.31
C000050,Client 50,32643.04,0.02,31990.18
C000051,Client 51,33437.98,0.02,32769.22
C000052,Client 52,47636.29,0.02,46683.56
C000053,Client 53,4605.49,0.02,4513.38
C000054,Client 54,17326.30,0.02,16979.77
C000055,Client 55,9220.31,0.02,9035.90
C000056,Client 56,26092.52,0.02,25570.67
C000057,Client 57,48769.23,0.02,47793.85
C000058,Client 58,10429.61,0.02,10221.02
C000059,Client 59,5437.90,0.02,5329.14
C000060,Client 60,27560.85,0.02,27009.63
C000061,Client 61,24053.12,0.02,23572.06
C000062,Client 62,19695.63,0.02,19301.72
C000063,Client 63,13016.40,0.02,12756.07
C000064,Client 64,31371.92,0.02,30744.48
C000065,Client 65,13723.31,0.02,13448.84
C000066,Client 66,28011.49,0.02,27451.26
C000067,Client 67,23948.32,0.02,23469.35
C000068,Client 68,24286.79,0.02,23801.05
C000069,Client 69,15063.77,0.02,14762.49
C000070,Client 70,47041.08,0.02,46100.26
C000071,Client 71,38888.91,0.02,38111.13
C000072,Client 72,29230.33,0.02,28645.72
C000073,Client 73,32963.85,0.02,32304.57
C000074,Client 74,3913.56,0.02,3835.29
C000075,Client 75,48448.45,0.02,47479.48
C000076,Client 76,960.13,0.02,940.93
C000077,Client 77,3412.33,0.02,3344.08
C000078,Client 78,26867.24,0.02,26329.90
C000079,Client 79,42635.61,0.02,41782.90
C000080,Client 80,49894.44,0.02,48896.55
C000081,Client 81,47708.07,0.02,46753.91
C000082,Client 82,8993.81,0.02,8813.93
C000083,Client 83,24348.23,0.02,23861.27
C000084,Client 84,28447.78,0.02,27878.82
C000085,Client 85,20937.92,0.02,20519.16
C000086,Client 86,2785.68,0.02,2729.97
C000087,Client 87,20520.02,0.02,20109.62
C000088,Client 88,26991.20,0.02,26451.38
C000089,Client 89,39738.98,0.02,38944.20
C000090,Client 90,33510.35,0.02,32840.14
C000091,Client 91,21932.82,0.02,21494.16
C000092,Client 92,35742.54,0.02,35027.69
C000093,Client 93,14172.12,0.02,13888.68
